序号,突变名称,地图,因子(点数),点数和,初筛档,标记/备注
283,星穹铁道专列,湮灭快车,异形寄生(2) + 行尸走肉(2) + 复仇战士(5) + 相互摧毁(5),14,含自制/未知因子·需人工,未识别:浮生
211,逐风者,升格之链,炸弹机器人(10) + 轨道轰炸(1) + 异形寄生(2),13,含自制/未知因子·需人工,未识别:阳光开朗小白马
213,极速狂飙,克哈裂痕,致命勾引(3) + 同化体(8) + 龙卷风暴(2),13,含自制/未知因子·需人工,未识别:三星沙口
214,炽热风暴,克哈裂痕,力量蜕变(7) + 生命吸取(1) + 复仇战士(5),13,含自制/未知因子·需人工,未识别:阳光开朗小白马
224,烈焰龙卷,熔火危机,杀戮机器人(6) + 坚强意志(2) + 自毁程序(3) + 龙卷风暴(2),13,含自制/未知因子·需人工,未识别:三星沙口
229,虚空先锋,克哈裂痕,灵能爆表(5) + 速度狂魔(2) + 默哀(2) + 暴风雪(4),13,含自制/未知因子·需人工,未识别:阳光开朗小白马
235,寒冰旋风,死亡摇篮,来去无踪(3) + 默哀(2) + 强磁雷场(4) + 暴风雪(4),13,含自制/未知因子·需人工,未识别:三星沙口
254,寒冰领域,虚空撕裂,扫雷专家(6) + 暴风雪(4) + 岩浆爆发(3),13,含自制/未知因子·需人工,未识别:派蒙
275,形体降临,往日神庙,力量蜕变(7) + 复仇战士(5) + 生命吸取(1),13,含自制/未知因子·需人工,未识别:yuanchuanchen
277,捉迷藏,升格之链,同化体(8) + 来去无踪(3) + 暗无天日(2),13,含自制/未知因子·需人工,未识别:yuanchuanchen
280,扫雷大师,虚空撕裂,扫雷专家(6) + 强磁雷场(4) + 减伤屏障(2) + 轨道轰炸(1),13,含自制/未知因子·需人工,未识别:yuanchuanchen
207,钢铁洪流,亡者之夜,默哀(2) + 同化体(8) + 闪避机动(1) + 时间扭曲(1),12,含自制/未知因子·需人工,未识别:阳光开朗小白马
225,黑暗之门,聚铁成兵,核弹打击(3) + 坚强意志(2) + 速度狂魔(2) + 复仇战士(5),12,含自制/未知因子·需人工,未识别:阳光开朗小白马
227,黑夜降临,湮灭快车,风暴英雄(10) + 轨道轰炸(1) + 生命吸取(1),12,含自制/未知因子·需人工,未识别:三星沙口
237,铁血战士,克哈裂痕,异形寄生(2) + 进攻部署(3) + 暗无天日(2) + 相互摧毁(5),12,含自制/未知因子·需人工,未识别:派蒙
250,冰封王座,湮灭快车,异形寄生(2) + 暴风雪(4) + 相互摧毁(5) + 强行征用(1),12,含自制/未知因子·需人工,未识别:派蒙
260,我是大主教,营救矿工,速度狂魔(2) + 焦土政策(2) + 自毁程序(3) + 复仇战士(5),12,含自制/未知因子·需人工,未识别:帕姆
262,火速行动,天界封锁,速度狂魔(2) + 丧尸大战(3) + 杀戮机器人(6) + 时空立场(1),12,含自制/未知因子·需人工,未识别:AlaTao
268,无声死神,营救矿工,速度狂魔(2) + 同化体(8) + 默哀(2),12,含自制/未知因子·需人工,未识别:AlaTao
273,丧尸围城,亡者之夜,给我死吧(7) + 丧尸大战(3) + 行尸走肉(2),12,含自制/未知因子·需人工,未识别:yuanchuanchen
212,狂风暴雨,亡者之夜,虚空重生者(5) + 强磁雷场(4) + 龙卷风暴(2),11,含自制/未知因子·需人工,未识别:轻轻地我走了
231,无尽虚空,升格之链,丧尸大战(3) + 暴风雪(4) + 鼓舞人心(2) + 减伤屏障(2),11,含自制/未知因子·需人工,未识别:轻轻地我走了
233,毁灭风暴,净网行动,相互摧毁(5) + 强磁雷场(4) + 龙卷风暴(2),11,含自制/未知因子·需人工,未识别:最爱JK
246,盲人摸象,黑暗杀星,虚空重生者(5) + 暗无天日(2) + 来去无踪(3) + 短视症(1),11,含自制/未知因子·需人工,未识别:帕姆
271,物资收集,聚铁成兵,小捞油水(5) + 无边恐惧(3) + 震荡攻击(1) + 龙卷风暴(2),11,含自制/未知因子·需人工,未识别:yuanchuanchen
282,相互掩护,营救矿工,复仇战士(5) + 坚强意志(2) + 鼓舞人心(2) + 超远视距(2),11,含自制/未知因子·需人工,未识别:yuanchuanchen
203,虚空裂隙,营救矿工,复仇战士(5) + 焦土政策(2) + 自毁程序(3),10,含自制/未知因子·需人工,未识别:轻轻地我走了
210,黑夜猎手,聚铁成兵,虚空重生者(5) + 异形寄生(2) + 生命吸取(1) + 超远视距(2),10,含自制/未知因子·需人工,未识别:阳光开朗小白马
219,怒海狂涛,湮灭快车,速度狂魔(2) + 给我死吧(7) + 短视症(1),10,含自制/未知因子·需人工,未识别:阳光开朗小白马
234,雷霆一击,天界封锁,异形寄生(2) + 来去无踪(3) + 自毁程序(3) + 减伤屏障(2),10,含自制/未知因子·需人工,未识别:骄阳
238,狂暴之心,熔火危机,伤害散射(3) + 复仇战士(5) + 龙卷风暴(2),10,含自制/未知因子·需人工,未识别:阳光开朗小白马
241,钢铁意志,虚空撕裂,核弹打击(3) + 无边恐惧(3) + 致命勾引(3) + 轨道轰炸(1),10,含自制/未知因子·需人工,未识别:三星沙口
253,雷霆咆哮,虚空降临,激光钻机(2) + 给我死吧(7) + 强行征用(1),10,含自制/未知因子·需人工,未识别:最爱JK
258,南村群童,净网行动,丧尸大战(3) + 速度狂魔(2) + 震荡攻击(1) + 暴风雪(4),10,含自制/未知因子·需人工,未识别:gal糕手
261,磁力干扰,聚铁成兵,致命勾引(3) + 自毁程序(3) + 强磁雷场(4),10,含自制/未知因子·需人工,未识别:AlaTao
272,火海抢修,熔火危机,伤害散射(3) + 异形寄生(2) + 岩浆爆发(3) + 焦土政策(2),10,含自制/未知因子·需人工,未识别:yuanchuanchen
281,都市决战,克哈裂痕,进攻部署(3) + 虚空重生者(5) + 晶矿护盾(2),10,含自制/未知因子·需人工,未识别:yuanchuanchen
297,智械危机,黑暗杀星,闪避机动(1) + 无边恐惧(3) + 杀戮机器人(6),10,含自制/未知因子·需人工,未识别:我玩原神怎么你了？
244,天启之门,机会渺茫,速度狂魔(2) + 相互摧毁(5) + 默哀(2),9,含自制/未知因子·需人工,未识别:阳光开朗小白马
252,光明使者,黑暗杀星,焦土政策(2) + 扫雷专家(6) + 闪避机动(1),9,含自制/未知因子·需人工,未识别:最爱JK
255,猛虫过江,克哈裂痕,丧尸大战(3) + 速度狂魔(2) + 行尸走肉(2) + 异形寄生(2),9,含自制/未知因子·需人工,未识别:派蒙
266,狂轰滥炸,往日神庙,核弹打击(3) + 轨道轰炸(1) + 相互摧毁(5),9,含自制/未知因子·需人工,未识别:AlaTao
279,月时计,净网行动,核弹打击(3) + 强磁雷场(4) + 时空力场(1) + 时间扭曲(1),9,含自制/未知因子·需人工,未识别:yuanchuanchen
295,人体描边大师,死亡摇篮,闪避机动(1) + 伤害散射(3) + 复仇战士(5),9,含自制/未知因子·需人工,未识别:我玩原神怎么你了？
247,烈焰风暴,天界封锁,双重压力(3) + 默哀(2) + 行尸走肉(2) + 时间扭曲(1),8,含自制/未知因子·需人工,未识别:最爱JK
284,风行迷踪,亡者之夜,来去无踪(3) + 行尸走肉(2) + 闪避机动(1) + 异形寄生(2),8,含自制/未知因子·需人工,未识别:浮生
286,城市化,亡者之夜,激光钻机(2) + 伤害散射(3) + 光子过载(1) + 减伤屏障(2),8,含自制/未知因子·需人工,未识别:浮生
239,冰封世界,天界封锁,激光钻机(2) + 默哀(2) + 震荡攻击(1) + 超远视距(2),7,含自制/未知因子·需人工,未识别:派蒙
242,猛龙过江,亡者之夜,来去无踪(3) + 轨道轰炸(1) + 闪避机动(1) + 减伤屏障(2),7,含自制/未知因子·需人工,未识别:最爱JK
287,单刷无效,死亡摇篮,极性不定(7),7,含自制/未知因子·需人工,未识别:浮生
296,莫名其妙,湮灭快车,激光钻机(2) + 岩浆爆发(3) + 鼓舞人心(2),7,含自制/未知因子·需人工,未识别:我玩原神怎么你了？
232,毁灭之力,熔火危机,超远视距(2) + 速度狂魔(2) + 鼓舞人心(2),6,含自制/未知因子·需人工,未识别:最爱JK
249,雷霆怒吼,天界封锁,晶矿护盾(2) + 闪避机动(1) + 致命勾引(3),6,含自制/未知因子·需人工,未识别:三星沙口
263,迫近的狂热,机会渺茫,速度狂魔(2) + 伤害散射(3) + 生命吸取(1),6,含自制/未知因子·需人工,未识别:AlaTao
218,雷霆咆哮,升格之链,虚空裂隙(10) + 礼尚往来(限定) + 减伤屏障(2),12,含限定·不可用,未识别:骄阳
285,探索提瓦特,净网行动,虚空裂隙(10) + 礼尚往来(限定),10,含限定·不可用,未识别:浮生
288,明日方舟,虚空降临,核弹打击(3) + 坚强意志(2) + 焰火秀(限定) + 暴风雪(4),9,含限定·不可用,未识别:gal糕手
209,虚空之握,克哈裂痕,异形寄生(2) + 礼尚往来(限定) + 暴风雪(4) + 速度狂魔(2),8,含限定·不可用,未识别:三星沙口
251,龙战于野,死亡摇篮,相互摧毁(5) + 礼尚往来(限定) + 晶矿护盾(2) + 短视症(1),8,含限定·不可用,未识别:帕姆
276,爆竹声声,机会渺茫,焰火秀(限定) + 相互摧毁(5) + 自毁程序(3),8,含限定·不可用,未识别:yuanchuanchen
256,内部福利,净网行动,礼尚往来(限定) + 扫雷专家(6),6,含限定·不可用,未识别:木木
264,恶意馈赠,死亡摇篮,礼尚往来(限定) + 相互摧毁(5),5,含限定·不可用,未识别:AlaTao
