序号	突变名称	地图	因子1	因子2	因子3
89	梦魇敌酋 Memorable Boss	虚空降临	风暴英雄	默哀	
90	基地颠倒 Flip My Base	机会渺茫	强行征用	飞弹大战	净化光束
91	防火墙 Firewall	净网行动	减伤屏障	岩浆爆发	扫雷专家
92	死亡税金 Death and Taxes	亡者之夜	黑死病	拿钱说话	小捞油水
93	感痛身受 Rubber and Glue 	虚空降临	伤害散射	双重压力	时空立场
94	地狱列车 Hell Train	湮灭快车	给我死吧	焦土政策	
95	感染尽出 Infection Detected 	净网行动	异形寄生	丧尸大战	自毁程序
96	机会尽出 Opportunities Unleashed	机会渺茫	减伤屏障	灵能爆表	速度狂魔
97	一将千出 One For All	往日神庙	坚强意志	鼓舞人心	力量蜕变
98	实验巨炮 Experimental Artillery 	聚铁成兵	激光钻机	超远视距	光子过载
99	核族入侵 Nuclear Family	升格之链	坚强意志	相互摧毁	丧尸大战
100	同归于尽 Die Together	黑暗杀星	给我死吧	极性不定	
101	烈火营救 Burning Evacuation	营救矿工	复仇战士	强行征用	焦土政策
102	复仇者集结 Assembly of Vengeance 	往日神庙	风暴英雄	复仇战士	
103	铁轨换线 Railroad Switch	湮灭快车	给我死吧	极性不定	
104	敌对领地 Hostile Territory	亡者之夜	减伤屏障	光子过载	灵能爆表
105	媒体抹黑 Media Blackout	熔火危机	暗无天日	飞弹大战	来去无踪
106	雷霆穹顶 Thunder Dome	天界封锁	风暴英雄	强磁雷场	
107	躲灾避祸 Dodge This	黑暗杀星	暗无天日	核弹打击	轨道轰炸
108	二元选择 Binary Choice 	净网行动	极性不定	虚空重生者	
109	升格蜕变 The Ascended	升格之链	鼓舞人心	力量蜕变	
110	森严壁垒 Enhanced Defenses 	死亡摇篮	减伤屏障	核弹打击	光子过载
111	双重麻烦 Double Trouble	虚空降临	同化体	杀戮机器人	
112	星沉地裂 And Drops And Rifts	聚铁成兵	进攻部署	虚空裂隙	
113	光炫神迷 Shining Bright	机会渺茫	震荡攻击	激光钻机	净化光束
114	无尽花火 Endless Sparkles	营救矿工	异形寄生	自毁程序	
115	机器重生 Robotic Revival	聚铁成兵	无边恐惧	给我死吧	激光钻机
116	秘密突击 Secret Storm	天界封锁	进攻部署	龙卷风暴	来去无踪
117	暗地破坏 Undermined	克哈裂痕	扫雷专家	虚空裂隙	
118	散光 Astigmatism	净网行动	超远视距	短视症	来去无踪
119	永不言死 Never Say Die 	机会渺茫	减伤屏障	给我死吧	生命汲取
120	中世纪 Medieval Times	黑暗杀星	黑死病	力量蜕变	
121	全力猛攻 Onslaught 	亡者之夜	进攻部署	丧尸大战	虚空重生者
122	等价交换 Equivalent Exchange 	虚空撕裂	伤害散射	给我死吧	
123	迫近的疯狂 Encroaching Madness 	机会渺茫	强行征用	净化光束	虚空裂隙
124	感恩季 Season of Giving	死亡摇篮	暴风雪	礼尚往来	杀生业报
125	抉择抉择 Choices Choices	往日神庙	坚强意志	鼓舞人心	相互摧毁
126	过度反应 Inordinate Response 	黑暗杀星	复仇战士	灵能爆表	
127	火焰净化 By Fire Be Purged	湮灭快车	核弹打击	岩浆爆发	焦土政策
128	急速增援 Timely Reinforcements	营救矿工	时空立场	虚空裂隙	
129	盲目进贡 Blind Tribute	升格之链	杀戮机器人	短视症	
130	进击壁垒 Barrier to Entry	天界封锁	减伤屏障	给我死吧	晶矿护盾
131	虫人海啸 Like Swatting Insects	死亡摇篮	异形寄生	飞弹大战	丧尸大战
133	夜半敲门 Knock Knock	亡者之夜	复仇战士	同化体	
134	舞舞生疯 Dance Dance Evolution 	机会渺茫	默哀	速度狂魔	力量蜕变
135	痛苦列车 Train of Pain	湮灭快车	双重压力	核弹打击	相互摧毁
136	刚硬裂隙 Resilient Rifts	克哈裂痕	给我死吧	虚空裂隙	
137	鬼魅杀手	黑暗杀星	黑死病	丧尸大战	来去无踪
138	噩梦重临 Call It a Comeback	往日神庙	复仇战士	强行征用	给我死吧
139	排爆行动 Explosive Hunt 	聚铁成兵	扫雷专家	小捞油水	
140	虚空召唤 Call of the Void 	虚空撕裂	虚空重生者	虚空裂隙	
142	荷枪实弹 Locked and Loaded	天界封锁	杀戮机器人	晶矿护盾	时空立场
143	雷劫难逃 Of Mines and Miners 	营救矿工	强磁雷场	扫雷专家	飞弹大战
144	恶棍联盟 The League of Vermillians	熔火危机	闪避机动	风暴英雄	
145	爆炸之链 Chain Explosion	升格之链	岩浆爆发	行尸走肉	
146	冰与火之歌 Hot n Cold	虚空降临	暴风雪	岩浆爆发	自毁程序
147	吸血鬼生活 What We Do in the Shadows	虚空撕裂	暗无天日	短视症	来去无踪
148	硬件故障  Hardware Malfunction 	净网行动	杀戮机器人	激光钻机	扫雷专家
149	分担痛苦 Shared Pain	聚铁成兵	伤害散射	致命勾引	
150	漫漫长夜 The Longest Night	亡者之夜	给我死吧	超远视距	光子过载
151	迅捷亡尸 The Quick and the Undead	黑暗杀星	速度狂魔	虚空重生者	
154	饥不择食 Beggars Can't Be Choosers	天界封锁	强磁雷场	扫雷专家	小捞油水
155	多线操作训练 Multitasking Trainer	净网行动	拿钱说话	虚空裂隙	
156	老友重聚 Hello My Old Friend	黑暗杀星	黑死病	暗无天日	默哀
157	发射升空 Blasting Off Again	虚空降临	核弹打击	岩浆爆发	灵能爆表
158	进入时空枢纽 Enter the Nexus	死亡摇篮	暴风雪	风暴英雄	
159	死亡转瞬即逝 Death is Fleeting	亡者之夜	给我死吧	虚空重生者	
160	批量生产 Mass Manufacturing	聚铁成兵	同化体	虚空裂隙	
161	小心手雷 	营救矿工	炸弹机器人	飞弹大战	
200	湮灭低语	往日神庙	虚空裂隙	无边恐惧	强磁雷场	时间扭曲	6	三星沙口
201	寒冰之触	聚铁成兵	风暴英雄	飞弹大战	龙卷风暴	轨道轰炸	5	阳光开朗小白马
202	烈焰之怒	天界封锁	复仇战士	虚空裂隙	杀戮机器人	龙卷风暴	6	三星沙口
203	虚空裂隙	营救矿工	复仇战士	焦土政策	自毁程序		4	轻轻地我走了
204	极速闪电	黑暗杀星	同化体		力量蜕变	速度狂魔	9	帕姆
205	冰火两重天	机会渺茫	灵能爆表	扫雷专家	鼓舞人心	焦土政策	4	轻轻地我走了
206	毁灭军团	聚铁成兵	极性不定	来去无踪	相互摧毁	时间扭曲	7	骄阳
207	钢铁洪流	亡者之夜	默哀	同化体	闪避机动	时间扭曲	5	阳光开朗小白马
208	黑暗深渊	升格之链	灵能爆表	同化体	行尸走肉	复仇战士	5	阳光开朗小白马
209	虚空之握	克哈裂痕	异形寄生	礼尚往来	暴风雪	速度狂魔	6	三星沙口
210	黑夜猎手	聚铁成兵	虚空重生者	异形寄生	生命吸取	超远视距	5	阳光开朗小白马
211	逐风者	升格之链	炸弹机器人	轨道轰炸		异形寄生	5	阳光开朗小白马
212	狂风暴雨	亡者之夜	虚空重生者	强磁雷场	龙卷风暴		4	轻轻地我走了
213	极速狂飙	克哈裂痕	致命勾引	同化体	龙卷风暴		6	三星沙口
214	炽热风暴	克哈裂痕		力量蜕变	生命吸取	复仇战士	5	阳光开朗小白马
215	钢铁狂潮	湮灭快车	丧尸大战	同化体	暗无天日	轨道轰炸	6	三星沙口
216	雷霆怒吼	虚空降临	炸弹机器人	行尸走肉	暴风雪	轨道轰炸	6	三星沙口
217	炽热之光	虚空撕裂	同化体	焦土政策	相互摧毁		4	轻轻地我走了
218	雷霆咆哮	升格之链	虚空裂隙	礼尚往来	减伤屏障		7	骄阳
219	怒海狂涛	湮灭快车	速度狂魔	给我死吧	短视症		5	阳光开朗小白马
220	寒冰领域	黑暗杀星	同化体	扫雷专家	龙卷风暴		5	阳光开朗小白马
221	龙战于野	黑暗杀星	小捞油水	强磁雷场	相互摧毁		4	轻轻地我走了
222	黑暗降临	湮灭快车	默哀	强磁雷场	复仇战士	进攻部署	6	三星沙口
223	狂风骤雨	升格之链	炸弹机器人	丧尸大战	减伤屏障	时间扭曲	7	骄阳
224	烈焰龙卷	熔火危机	杀戮机器人	坚强意志	自毁程序	龙卷风暴	6	三星沙口
225	黑暗之门	聚铁成兵	核弹打击	坚强意志	速度狂魔	复仇战士	5	阳光开朗小白马
226	虚空猎手	熔火危机	灵能爆表	虚空重生者	岩浆爆发	默哀	5	阳光开朗小白马
227	黑夜降临	湮灭快车	风暴英雄	轨道轰炸	生命吸取		6	三星沙口
228	光明使者	克哈裂痕	虚空裂隙	轨道轰炸	晶矿护盾	默哀	5	阳光开朗小白马
229	虚空先锋	克哈裂痕	灵能爆表	速度狂魔	默哀	暴风雪	5	阳光开朗小白马
230	雷霆万钧	湮灭快车	风暴英雄	速度狂魔	相互摧毁		7	骄阳
231	无尽虚空	升格之链	丧尸大战	暴风雪	鼓舞人心	减伤屏障	4	轻轻地我走了
232	毁灭之力	熔火危机	超远视距	速度狂魔	鼓舞人心		3	最爱JK
233	毁灭风暴	净网行动	相互摧毁	强磁雷场	龙卷风暴		2	最爱JK
234	雷霆一击	天界封锁	异形寄生	来去无踪	自毁程序	减伤屏障	7	骄阳
235	寒冰旋风	死亡摇篮	来去无踪	默哀	强磁雷场	暴风雪	6	三星沙口
236	炽热炼狱	净网行动	虚空重生者		力量蜕变	相互摧毁	7	骄阳
237	铁血战士	克哈裂痕	异形寄生	进攻部署	暗无天日	相互摧毁	4	派蒙
238	狂暴之心	熔火危机		伤害散射	复仇战士	龙卷风暴	5	阳光开朗小白马
239	冰封世界	天界封锁	激光钻机	默哀	震荡攻击	超远视距	4	派蒙
240	烈焰冲天	净网行动	扫雷专家	进攻部署	光子过载	暴风雪	6	三星沙口
241	钢铁意志	虚空撕裂	核弹打击	无边恐惧	致命勾引	轨道轰炸	6	三星沙口
242	猛龙过江	亡者之夜	来去无踪	轨道轰炸	闪避机动	减伤屏障	3	最爱JK
243	毁灭之刃	熔火危机	灵能爆表	给我死吧	暴风雪		7	骄阳
244	天启之门	机会渺茫	速度狂魔	相互摧毁	默哀		5	阳光开朗小白马
245	电光火石	黑暗杀星	致命勾引	给我死吧		相互摧毁	7	骄阳
246	盲人摸象	黑暗杀星	虚空重生者	暗无天日	来去无踪	短视症	10	帕姆
247	烈焰风暴	天界封锁	双重压力	默哀	行尸走肉	时间扭曲	3	最爱JK
248	铁血战士	往日神庙	拿钱说话	给我死吧	自毁程序		8	帕姆
249	雷霆怒吼	天界封锁	晶矿护盾	闪避机动	致命勾引		6	三星沙口
250	冰封王座	湮灭快车	异形寄生	暴风雪	相互摧毁	强行征用	4	派蒙
251	龙战于野	死亡摇篮	相互摧毁	礼尚往来	晶矿护盾	短视症	8	帕姆
252	光明使者	黑暗杀星	焦土政策	扫雷专家	闪避机动		3	最爱JK
253	雷霆咆哮	虚空降临	激光钻机	给我死吧	强行征用		3	最爱JK
254	寒冰领域	虚空撕裂	扫雷专家	暴风雪	岩浆爆发		4	派蒙
255	猛虫过江	克哈裂痕	丧尸大战	速度狂魔	行尸走肉	异形寄生	4	派蒙
256	内部福利	净网行动	礼尚往来	扫雷专家			5	木木
257	快上车	湮灭快车	风暴英雄	进攻部署	飞弹大战		8	帕姆
258	南村群童	净网行动	丧尸大战	速度狂魔	震荡攻击	暴风雪	6	gal糕手
259	我是高手	往日神庙	进攻部署	虚空裂隙	力量蜕变	默哀	10	帕姆
260	我是大主教	营救矿工	速度狂魔	焦土政策	自毁程序	复仇战士	7	帕姆
261	磁力干扰	聚铁成兵	致命勾引	自毁程序	强磁雷场		6	AlaTao
262	火速行动	天界封锁	速度狂魔	丧尸大战	杀戮机器人	时空立场	8	AlaTao
263	迫近的狂热	机会渺茫	速度狂魔	伤害散射	生命吸取		9	AlaTao
264	恶意馈赠	死亡摇篮	礼尚往来	相互摧毁			6	AlaTao
265	虚空屏障	虚空撕裂	减伤屏障	虚空裂隙	核弹打击		9	AlaTao
266	狂轰滥炸	往日神庙	核弹打击	轨道轰炸	相互摧毁		3	AlaTao
267	破灭之音	黑暗杀星	默哀	力量蜕变	相互摧毁	短视症	8	星宫六喰
268	无声死神	营救矿工	速度狂魔	同化体	默哀		10	AlaTao
269	炸弹快递	死亡摇篮	炸弹机器人	飞弹大战	暗无天日	时间扭曲	9	星宫六喰
270	深境螺旋	升格之链	虚空重生者	虚空裂隙	力量蜕变		8	AlaTao
271	物资收集	聚铁成兵	小捞油水	无边恐惧	震荡攻击	龙卷风暴	7	yuanchuanchen
272	火海抢修	熔火危机	伤害散射	异形寄生	岩浆爆发	焦土政策	4	yuanchuanchen
273	丧尸围城	亡者之夜	给我死吧	丧尸大战	行尸走肉		6	yuanchuanchen
274	风暴之门	虚空降临	风暴英雄	暴风雪	龙卷风暴		6	yuanchuanchen
275	形体降临	往日神庙	力量蜕变	复仇战士	生命吸取		6	yuanchuanchen
276	爆竹声声	机会渺茫	焰火秀	相互摧毁	自毁程序		7	yuanchuanchen
277	捉迷藏	升格之链	同化体	来去无踪	暗无天日		8	yuanchuanchen
278	埃蒙之赐	黑暗杀星	虚空裂隙	相互摧毁			4	yuanchuanchen
279	月时计	净网行动	核弹打击	强磁雷场	时空力场	时间扭曲	4	yuanchuanchen
280	扫雷大师	虚空撕裂	扫雷专家	强磁雷场	减伤屏障	轨道轰炸	4	yuanchuanchen
281	都市决战	克哈裂痕	进攻部署	虚空重生者	晶矿护盾		6	yuanchuanchen
282	相互掩护	营救矿工	复仇战士	坚强意志	鼓舞人心	超远视距	5	yuanchuanchen
283	星穹铁道专列	湮灭快车	异形寄生	行尸走肉	复仇战士	相互摧毁	6	浮生
284	风行迷踪	亡者之夜	来去无踪	行尸走肉	闪避机动	异形寄生	4	浮生
285	探索提瓦特	净网行动	虚空裂隙	礼尚往来			5	浮生
286	城市化	亡者之夜	激光钻机	伤害散射	光子过载	减伤屏障	4	浮生
287	单刷无效	死亡摇篮	极性不定				4	浮生
288	明日方舟	虚空降临	核弹打击	坚强意志	焰火秀	暴风雪	7	gal糕手
289	憧憬成为魔法少女	往日神庙	灵能爆表	给我死吧	力量蜕变		9	gal糕手
290	武神终极	升格之链	风暴英雄	坚强意志	复仇战士		8	gal糕手
291	杀之不尽	营救矿工	行尸走肉	异形寄生	给我死吧	减伤屏障	7	龙卷风
292	塞壬亡歌	亡者之夜	力量蜕变	同化体	无边恐惧	致命勾引	9	Elysia
293	冥王意志	湮灭快车	虚空重生者	来去无踪	黑死病	速度狂魔	8	Elysia
294	极限单兵	亡者之夜	风暴英雄	坚强意志	复仇战士	行尸走肉	10	Elysia
295	人体描边大师	死亡摇篮	闪避机动	伤害散射	复仇战士		6	我玩原神怎么你了？
296	莫名其妙	湮灭快车	激光钻机	岩浆爆发	鼓舞人心		3	我玩原神怎么你了？
297	智械危机	黑暗杀星	闪避机动	无边恐惧	杀戮机器人		7	我玩原神怎么你了？
298	人类灭绝计划	净网行动	黑死病	闪避机动	虚空裂隙	行尸走肉	9	我玩原神怎么你了？
299	同化完成	虚空撕裂	给我死吧	同化体			7	我玩原神怎么你了？
